Date,Open,High,Low,Close,Adj Close,Volume,delta,profit,gain_loss
1/10/23,130.259995,131.259995,128.119995,130.729996,130.350403,63896200, 0.47 ," 30,031,277.90 ",gain
1/11/23,131.25,133.509995,130.460007,133.490005,133.102386,69458900, 2.24 ," 155,588,283.29 ",gain
1/12/23,133.880005,134.259995,131.440002,133.410004,133.022614,71379600, (0.47)," (33,548,483.38)",loss
1/13/23,132.029999,134.919998,131.660004,134.759995,134.368698,57809700, 2.73 ," 157,820,249.76 ",gain
1/17/23,134.830002,137.289993,134.130005,135.940002,135.545273,63646600, 1.11 ," 70,647,726.00 ",gain
1/18/23,136.820007,138.610001,135.029999,135.210007,134.817398,69672800, (1.61)," (112,173,208.00)",loss
1/19/23,134.080002,136.25,133.770004,135.270004,134.877228,58280400, 1.19 ," 69,353,792.56 ",gain
1/20/23,135.279999,138.020004,134.220001,137.869995,137.469666,80223600, 2.59 ," 207,778,803.11 ",gain
1/23/23,138.119995,143.320007,137.899994,141.110001,140.700256,81760300, 2.99 ," 244,463,787.56 ",gain
1/24/23,140.309998,143.160004,140.300003,142.529999,142.116135,66435100, 2.22 ," 147,485,988.44 ",gain
1/25/23,140.889999,142.429993,138.809998,141.860001,141.448074,65799300, 0.97 ," 63,825,452.60 ",gain
1/26/23,143.169998,144.25,141.899994,143.960007,143.541992,54105100, 0.79 ," 42,743,515.95 ",gain
1/27/23,143.160004,147.229996,143.080002,145.929993,145.506256,70555800, 2.77 ," 195,438,789.89 ",gain
1/30/23,144.960007,145.550003,142.850006,143,142.584778,64015300, (1.96)," (125,470,436.11)",loss
1/31/23,142.699997,144.339996,142.279999,144.289993,143.871017,65874500, 1.59 ," 104,740,191.50 ",gain
2/1/23,143.970001,146.610001,141.320007,145.429993,145.007706,77663600, 1.46 ," 113,388,234.69 ",gain
2/2/23,148.899994,151.179993,148.169998,150.820007,150.382065,118339000, 1.92 ," 227,212,418.41 ",gain
2/3/23,148.029999,157.380005,147.830002,154.5,154.051376,154357300, 6.47 ," 998,691,885.36 ",gain
2/6/23,152.570007,153.100006,150.779999,151.729996,151.289429,69858300, (0.84)," (58,681,740.44)",loss
2/7/23,150.639999,155.229996,150.639999,154.649994,154.200943,83322600, 4.01 ," 334,123,209.39 ",gain
2/8/23,153.880005,154.580002,151.169998,151.919998,151.478882,64120100, (1.96)," (125,675,844.84)",loss
2/9/23,153.779999,154.330002,150.419998,150.869995,150.431915,56007100, (2.91)," (162,980,885.03)",loss
2/10/23,149.460007,151.339996,149.220001,151.009995,150.801407,57450700, 1.55 ," 89,047,895.59 ",gain
2/13/23,150.949997,154.259995,150.919998,153.850006,153.637497,62199000, 2.90 ," 180,377,659.79 ",gain
2/14/23,152.119995,153.770004,150.860001,153.199997,152.988388,61707600, 1.08 ," 66,644,331.42 ",gain
2/15/23,153.110001,155.5,152.880005,155.330002,155.115448,65573800, 2.22 ," 145,573,901.57 ",gain
2/16/23,153.509995,156.330002,153.350006,153.710007,153.497696,68167900, 0.20 ," 13,634,398.01 ",gain
2/17/23,152.350006,153,150.850006,152.550003,152.339294,59144100, 0.20 ," 11,828,642.57 ",gain
2/21/23,150.199997,151.300003,148.410004,148.479996,148.274902,58867200, (1.72)," (101,251,642.87)",loss
2/22/23,148.869995,149.949997,147.160004,148.910004,148.704315,51011300, 0.04 ," 2,040,911.10 ",gain
2/23/23,150.089996,150.339996,147.240005,149.399994,149.193634,48394200, (0.69)," (33,392,094.79)",loss
2/24/23,147.110001,147.190002,145.720001,146.710007,146.507355,55469600, (0.40)," (22,187,507.18)",loss
2/27/23,147.710007,149.169998,147.449997,147.919998,147.715683,44998500, 0.21 ," 9,449,280.01 ",gain
2/28/23,147.050003,149.080002,146.830002,147.410004,147.20639,50547000, 0.36 ," 18,196,970.55 ",gain
3/1/23,146.830002,147.229996,145.009995,145.309998,145.109283,55479000, (1.52)," (84,328,301.92)",loss
3/2/23,144.380005,146.710007,143.899994,145.910004,145.708466,52238100, 1.53 ," 79,924,240.76 ",gain
3/3/23,148.039993,151.110001,147.330002,151.029999,150.821381,70732300, 2.99 ," 211,490,001.39 ",gain
3/6/23,153.789993,156.300003,153.460007,153.830002,153.617523,87558000, 0.04 ," 3,503,108.02 ",gain
3/7/23,153.699997,154.029999,151.130005,151.600006,151.39061,56182000, (2.10)," (117,981,694.36)",loss
3/8/23,152.809998,153.470001,151.830002,152.869995,152.658844,47204800, 0.06 ," 2,832,146.39 ",gain
3/9/23,153.559998,154.539993,150.229996,150.589996,150.381989,53833600, (2.97)," (159,885,899.67)",loss
3/10/23,150.210007,150.940002,147.610001,148.5,148.294876,68572400, (1.71)," (117,259,284.01)",loss
3/13/23,147.809998,153.139999,147.699997,150.470001,150.262161,84457100, 2.66 ," 224,656,139.37 ",gain
3/14/23,151.279999,153.399994,150.100006,152.589996,152.379227,73695900, 1.31 ," 96,541,407.91 ",gain
3/15/23,151.190002,153.25,149.919998,152.990005,152.778687,77167900, 1.80 ," 138,902,451.50 ",gain
3/16/23,152.160004,156.460007,151.639999,155.850006,155.634735,76161100, 3.69 ," 281,034,611.32 ",gain
3/17/23,156.080002,156.740005,154.279999,155,154.785904,98944600, (1.08)," (106,860,365.89)",loss
3/20/23,155.070007,157.820007,154.149994,157.399994,157.182587,73641400, 2.33 ," 171,583,504.66 ",gain
3/21/23,157.320007,159.399994,156.539993,159.279999,159.059982,73938300, 1.96 ," 144,918,476.49 ",gain
3/22/23,159.300003,162.139999,157.809998,157.830002,157.612,75701800, (1.47)," (111,281,721.70)",loss
3/23/23,158.830002,161.550003,157.679993,158.929993,158.710464,67622100, 0.10 ," 6,761,601.40 ",gain
3/24/23,158.860001,160.339996,157.850006,160.25,160.028656,59196500, 1.39 ," 82,283,075.80 ",gain
3/27/23,159.940002,160.770004,157.869995,158.279999,158.061371,52390300, (1.66)," (86,968,055.17)",loss
3/28/23,157.970001,158.490005,155.979996,157.649994,157.432236,45992200, (0.32)," (14,717,825.95)",loss
3/29/23,159.369995,161.050003,159.350006,160.770004,160.547943,51305700, 1.40 ," 71,828,441.75 ",gain
3/30/23,161.529999,162.470001,161.270004,162.360001,162.135742,49501700, 0.83 ," 41,086,510.00 ",gain
3/31/23,162.440002,165,161.910004,164.899994,164.672226,68749800, 2.46 ," 169,123,958.00 ",gain
4/3/23,164.270004,166.289993,164.220001,166.169998,165.940475,56976200, 1.90 ," 108,254,438.14 ",gain
4/4/23,166.600006,166.839996,165.110001,165.630005,165.40123,46278300, (0.97)," (44,889,997.28)",loss
4/5/23,164.740005,165.050003,161.800003,163.759995,163.533798,51511700, (0.98)," (50,481,981.12)",loss
4/6/23,162.429993,164.960007,162,164.660004,164.432556,45390100, 2.23 ," 101,220,422.29 ",gain
4/10/23,161.419998,162.029999,160.080002,162.029999,161.806183,47716900, 0.61 ," 29,107,356.72 ",gain
4/11/23,162.350006,162.360001,160.509995,160.800003,160.577896,47644200, (1.55)," (73,848,652.93)",loss
4/12/23,161.220001,162.059998,159.779999,160.100006,159.87886,50133100, (1.12)," (56,148,821.33)",loss
4/13/23,161.630005,165.800003,161.419998,165.559998,165.331314,68445600, 3.93 ," 268,990,728.88 ",gain
4/14/23,164.589996,166.320007,163.820007,165.210007,164.981812,49386500, 0.62 ," 30,620,173.25 ",gain
4/17/23,165.089996,165.389999,164.029999,165.229996,165.00177,41516200, 0.14 ," 5,812,268.00 ",gain
4/18/23,166.100006,167.410004,165.649994,166.470001,166.240067,49923000, 0.37 ," 18,471,260.38 ",gain
