Symbol,Name,Price (Intraday),Change,% Change,Volume,Avg Vol (3 month),Market Cap
PLTR,Palantir Technologies Inc.,17.99,-0.21,-1.15%,104.448M,86.735M,38.111B
AAPL,Apple Inc.,178.85,-3.14,-1.73%,97.264M,56.642M,2.813T
AMD,"Advanced Micro Devices, Inc.",116.81,0.99,0.85%,64.608M,71.766M,188.106B
NVDA,NVIDIA Corporation,454.17,7.37,1.65%,32.1M,48.933M,1.122T
UBER,"Uber Technologies, Inc.",44.95,-0.25,-0.55%,22.069M,23.24M,90.971B
BKI,"Black Knight, Inc.",74.36,2.86,4.00%,17.95M,1.7M,11.657B
INTC,Intel Corporation,35.23,0.09,0.26%,22.47M,44.11M,147.5B
SQ,"Block, Inc.",64.01,0.49,0.77%,16.197M,9.556M,38.719B
MSFT,Microsoft Corporation,330.11,2.33,0.71%,17.646M,28.691M,2.455T
FTNT,"Fortinet, Inc.",57.7,0.93,1.64%,14.328M,5.688M,45.306B
GRAB,Grab Holdings Limited,3.59,0.01,0.28%,12.22M,19.106M,13.954B
SHOP,Shopify Inc.,57.57,-0.36,-0.62%,10.817M,13.965M,73.63B
NOK,Nokia Oyj,3.9,-0.01,-0.26%,10.656M,16.412M,21.657B
MU,"Micron Technology, Inc.",69.38,-0.53,-0.76%,10.386M,17.145M,75.992B
HOOD,"Robinhood Markets, Inc.",11.34,0.06,0.53%,9.579M,10.407M,10.24B
U,Unity Software Inc.,39.95,-0.22,-0.55%,8.979M,14.527M,15.127B
PANW,"Palo Alto Networks, Inc.",215.24,-3.08,-1.41%,8.581M,6.239M,65.832B
CSCO,"Cisco Systems, Inc.",53.01,0.38,0.72%,11.271M,18.852M,216.019B
HPE,Hewlett Packard Enterprise Company,17.55,0.18,1.04%,10.421M,12.957M,22.666B
ERIC,Telefonaktiebolaget LM Ericsson (publ),5.03,0.01,0.20%,6.949M,8.87M,16.99B
DDOG,"Datadog, Inc.",106.3,-1.23,-1.14%,7.618M,4.473M,34.215B
TOST,"Toast, Inc.",20.37,0.35,1.75%,6.91M,7.789M,10.806B
GEN,Gen Digital Inc.,21.12,1.02,5.07%,7.377M,4.318M,13.533B
TSM,Taiwan Semiconductor Manufacturing Company Limited,96.35,0.19,0.20%,6.187M,11.946M,499.71B
QCOM,QUALCOMM Incorporated,119.34,-2.16,-1.78%,6.923M,9.138M,132.945B
